ID,Age,Attrition,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,WorkLifeBalance,StartDate
1,41,Yes,Sales,1 miles,College,Life Sciences,Medium,Very High,Single,"$5,993.00",8,Bad,23/11/2015
2,49,No,Research & Development,8 miles,Below College,Life Sciences,High,Medium,Married,"$5,130.00",1,Better,10/10/2011
3,37,Yes,Research & Development,2 miles,College,Other,Very High,High,Single,"$2,090.00",6,Better,19/8/2021
4,33,No,Research & Development,3 miles,Masters,Life Sciences,Very High,High,Married,"$2,909.00",1,Better,14/9/2013
5,27,No,Research & Development,2 miles,Below College,Medical,Low,Medium,Married,"$3,468.00",9,Better,24/4/2019
6,32,No,Research & Development,2 miles,College,Life Sciences,Very High,Very High,Single,"$3,068.00",0,Good,24/4/2014
7,59,No,Research & Development,3 miles,Bachelors,Medical,High,Low,Married,"$2,670.00",4,Good,17/12/2020
8,30,No,Research & Development,24 miles,Below College,Life Sciences,Very High,High,Divorced,"$2,693.00",1,Better,19/2/2020
9,38,No,Research & Development,23 miles,Bachelors,Life Sciences,Very High,High,Single,"$9,526.00",0,Better,26/12/2012
10,36,No,Research & Development,27 miles,Bachelors,Medical,High,High,Married,"$5,237.00",6,Good,16/3/2014
11,35,No,Research & Development,16 miles,Bachelors,Medical,Low,Medium,Married,"$2,426.00",0,Better,12/6/2016
12,29,No,Research & Development,15 miles,College,Life Sciences,Very High,High,Single,"$4,193.00",0,Better,23/7/2012
13,31,No,Research & Development,26 miles,Below College,Life Sciences,Low,High,Divorced,"$2,911.00",1,Good,28/3/2016
14,34,No,Research & Development,19 miles,College,Medical,Medium,Very High,Divorced,"$2,661.00",0,Better,24/11/2019
15,28,Yes,Research & Development,24 miles,Bachelors,Life Sciences,High,High,Single,"$2,028.00",5,Better,18/1/2017
16,29,No,Research & Development,21 miles,Masters,Life Sciences,Medium,Low,Divorced,"$9,980.00",1,Better,21/11/2011
17,32,No,Research & Development,5 miles,College,Life Sciences,Low,Medium,Divorced,"$3,298.00",0,Good,11/9/2015
18,22,No,Research & Development,16 miles,College,Medical,Very High,Very High,Divorced,"$2,935.00",1,Good,15/8/2020
19,53,No,Sales,2 miles,Masters,Life Sciences,Low,Very High,Married,"$15,427.00",2,Better,17/3/1996
